
PHASE 3: SYMBOL TABLE

SYMBOL               DATATYPE     TYPE         LINE
----------------------------------------------------------
#include<stdio.h>    N/A          Header          1
5                    N/A          Constant        7
;                    ;            Variable        7
2.3                  N/A          Constant        9
10                   N/A          Constant       11
)                    N/A          Keyword        13
}                    N/A          Keyword        19
0                    N/A          Constant       21
